,School_Name,STREET,POSTCODE,WEB_SITE,School_Group,LNG,LAT,SCHNAME,TOWN,SCHSTATUS,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,OFSTEDRATING
71,Corpus Christi Catholic Primary School,Lyttelton Road,B33 8BL,http://www.corpuschristi.bham.sch.uk/index.htm,Primary,-1.812558757,52.48065018,Corpus Christi Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
72,Cottesbrooke Infant and Nursery School,Yardley Road,B27 6LG,http://www.cottesbrooke-inf.bham.sch.uk/,Infants,-1.817371949,52.45255494,Cottesbrooke Infant and Nursery School,Birmingham,Open,Academy,Academy converter,1,0,0,3,7,Mixed,Does not apply,Good
73,Court Farm Primary School,Tedbury Crescent,B23 5NS,http://www.courtfrm.bham.sch.uk/,Primary,-1.85361097,52.5337755,Court Farm Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
74,Deykin Avenue Junior and Infant School,Deykin Avenue,B6 7BU,http://www.deykinav.bham.sch.uk/,Primary,-1.87563195,52.51414867,Deykin Avenue Junior and Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Requires improvement
75,Dorrington Academy,Dorrington Road,B42 1QR,http://www.dorringtonprimary.co.uk/,Primary,-1.9229055869999998,52.52984919,Dorrington Academy,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Outstanding
76,Elms Farm Community Primary School,Dorncliffe Avenue,B33 0PJ,http://www.elmsfarm.bham.sch.uk/,Primary,-1.7732431469999999,52.46377914,Elms Farm Community Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
77,English Martyrs' Catholic Primary School,Evelyn Road,B11 3JW,http://www.englishmartyrs.co.uk/,Primary,-1.8636846230000002,52.45102603,English Martyrs' Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Outstanding
78,Erdington Hall Primary School,Ryland Road,B24 8JJ,http://www.erdhall.bham.sch.uk/,Primary,-1.841262472,52.51179728,Erdington Hall Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Good
79,Fairfax,Fairfax Road,B75 7JT,http://www.fairfax.bham.sch.uk/,Secondary,-1.79769983,52.56144499,Fairfax,Sutton Coldfield,Open,Academy,Academy converter,0,1,1,11,18,Mixed,None,Good
80,Featherstone Primary School,Glenville Drive,B23 6PR,http://www.featherstoneprimaryschool.co.uk/,Primary,-1.8506459780000002,52.52559999,Featherstone Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
81,Firs Primary School,Dreghorn Road,B36 8LL,http://www.firs.bham.sch.uk/,Primary,-1.803003521,52.50424318,Firs Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Requires improvement
82,Forestdale Primary School,Wareham Road,B45 0JS,http://www.forestdale.bham.sch.uk/,Primary,-2.004953377,52.40754312,Forestdale Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Requires improvement
83,Four Dwellings Academy,Dwellings Lane,B32 1RJ,http://www.fourdwellingsacademy.org/,Secondary,-2.003633981,52.45506876,Four Dwellings Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,0,11,16,Mixed,None,Good
84,Four Dwellings Primary Academy,Quinton Road West,B32 1PJ,http://www.fdwellp.bham.sch.uk/,Primary,-2.000755604,52.45484585,Four Dwellings Primary Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Requires improvement
85,Four Oaks Primary School,Edge Hill Road,B74 4PA,http://www.fouroaksprimary.bham.sch.uk/,Primary,-1.8521949480000002,52.595560899999995,Four Oaks Primary School,Sutton Coldfield,Open,Maintained school,Foundation school,1,0,0,4,11,Mixed,Does not apply,Outstanding
86,Fox Hollies School and Performing Arts College,Highbury Community Campus,B13 8QB,http://www.foxhollies.bham.sch.uk/,Special,-1.8930939880000002,52.44084358,Fox Hollies School and Performing Arts College,Birmingham,Open,Special school,Foundation special school,0,1,1,11,19,Mixed,Does not apply,Outstanding
87,George Dixon Academy,Portland Road,B16 9GD,http://www.georgedixonacademy.com/,Secondary,-1.9565372030000001,52.47665491,George Dixon Academy,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,None,Good
88,George Dixon Primary School,City Road,B17 8LE,http://www.georgedixonprimary.bham.sch.uk/,Primary,-1.957273539,52.4764304,George Dixon Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Requires improvement
89,Gilbertstone Primary School,Clay Lane,B26 1EH,http://www.gilbertstoneprimary.com/,Primary,-1.809063871,52.45461857,Gilbertstone Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
90,Glenmead Primary School,Glenmead Road,B44 8UQ,https://glenmead-bham.frogprimary.com/,Primary,-1.9000112340000002,52.54123863,Glenmead Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Requires improvement
91,Green Meadow Primary School,Green Meadow Road,B29 4EE,http://www.greenmeadowprimaryschool.com/,Primary,-1.9723997919999998,52.42882837,Green Meadow Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Requires improvement
92,Greenholm Primary School,Greenholm Road,B44 8HS,http://web.grnholm.bham.sch.uk/site/,Primary,-1.8924348690000001,52.53654998,Greenholm Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Does not apply,Good
93,Greenwood Academy,Farnborough Road,B35 7NL,https://sites.google.com/a/aetinet.org/greenwood-academy/home,Secondary,-1.782252636,52.52017209,Greenwood Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Does not apply,Good
94,Greet Primary School,Percy Road,B11 3ND,http://www.greet.bham.sch.uk/,Primary,-1.8577918340000001,52.45320368,Greet Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,
95,Grestone Academy,Grestone Avenue,B20 1ND,http://www.grestoneschool.co.uk/,Primary,-1.937937012,52.52228851,Grestone Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Requires improvement
96,Grove School,Dawson Road,B21 9HB,http://web.grove.bham.sch.uk/,Primary,-1.9334668240000001,52.50566375,Grove School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
97,Guardian Angels Catholic Primary School,Hurst Lane,B34 7HN,http://www.grdangel.bham.sch.uk/,Primary,-1.764234927,52.49694358,Guardian Angels Catholic Primary School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
98,Guardian Angels Catholic Primary School,Hurst Lane,B34 7HN,http://www.grdangel.bham.sch.uk/,Primary,-1.764234927,52.49694358,Guardian Angels Catholic Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Roman Catholic,
99,Gunter Primary School,Gunter Road,B24 0RU,http://www.gunterprimary.org/,Primary,-1.8084520219999998,52.52108037,Gunter Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Good
100,Hall Green Infant School,Petersfield Road,B28 0AR,http://www.hallgreeninfant.co.uk/,Infants,-1.8454493459999999,52.43113572,Hall Green Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Good
101,Hall Green Junior School,Stratford Road,B28 9AJ,http://www.hallgrnj.bham.sch.uk/,Juniors,-1.844361392,52.43101746,Hall Green Junior School,Birmingham,Open,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Good
102,Hall Green School,Southam Road,B28 0AA,http://www.hallgreen.bham.sch.uk/,Secondary,-1.8489437180000001,52.43292928,Hall Green School,Birmingham,Open,Academy,Academy converter,0,1,0,11,16,Mixed,None,Good
103,Hallmoor School,Scholars Gate,B33 0DL,http://www.hallmoor.bham.sch.uk/,Special,-1.780264604,52.48110716,Hallmoor School,Birmingham,Open,Special school,Academy special sponsor led,1,1,1,4,19,Mixed,Does not apply,Requires improvement
104,Hamilton School,Hamilton Road,B21 8AH,http://www.hamilton.bham.sch.uk,Special,-1.9439402,52.5069457,Hamilton School,Birmingham,Open,Special school,Foundation special school,1,0,0,4,11,Mixed,Does not apply,Outstanding
105,Hamstead Hall Academy,Craythorne Avenue,B20 1HL,http://www.hamsteadhall.com,Secondary,-1.94211219,52.53031862,Hamstead Hall Academy,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,None,Good
106,Harborne Academy,Harborne Road,B15 3JL,http://www.harborneacademy.co.uk/,Secondary,-1.9382423219999998,52.46185833,Harborne Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,16,Mixed,Does not apply,Good
107,Harborne Primary School,Station Road,B17 9LU,http://www.harborne.bham.sch.uk,Primary,-1.9529633430000002,52.45907815,Harborne Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Outstanding
108,Hawkesley Church Primary Academy,376 Shannon Road,B38 9TR,http://www.hawkesley.bham.sch.uk/,Primary,-1.9378668769999998,52.39362368,Hawkesley Church Primary Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Church of England/Methodist,Good
109,Hawthorn Primary School,Hawthorn Road,B44 8QR,http://hawthornprimaryschool.co.uk/,Primary,-1.877148367,52.53579792,Hawthorn Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Requires improvement
110,Heartlands Academy,Gt Francis Street,B7 4QR,http://www.heartlands-academy.org.uk/,Secondary,-1.874864485,52.48858054,Heartlands Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,18,Mixed,Does not apply,Outstanding
