,School_Name,STREET,POSTCODE,WEB_SITE,School_Group,LNG,LAT,SCHNAME,TOWN,SCHSTATUS,MINORGROUP,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,RELCHAR,OFSTEDRATING
223,Reaside Academy,Tresco Close,B45 0HY,http://www.reasideacademy.com/,Juniors,-2.02591734,52.40162556,Reaside Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,7,11,Mixed,Does not apply,Good
224,Rednal Hill Infant School,Irwin Avenue,B45 8QY,http://www.rednalhill-inf.bham.sch.uk/,Infants,-2.000292693,52.39159913,Rednal Hill Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,3,7,Mixed,Does not apply,Good
225,Rednal Hill Junior School,Irwin Avenue,B45 8QY,http://www.rednalhill-jun.bham.sch.uk/,Juniors,-2.0014976019999997,52.39129345,Rednal Hill Junior School,Birmingham,Open,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Requires improvement
226,Regents Park Community Primary School,Arthur Street,B10 0NJ,http://www.rgntpark.bham.sch.uk/,Primary,-1.868966801,52.47103474,Regents Park Community Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
227,Robin Hood Academy,Pitmaston Road,B28 9PP,http://www.robinhoodprimary.com/,Primary,-1.831570133,52.42596555,Robin Hood Academy,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
228,Rockwood Academy,Naseby Road,B8 3HG,http://www.rockwood-academy.co.uk/,Secondary,-1.8465135819999998,52.49086293,Rockwood Academy,Birmingham,Open,Academy,Academy converter,0,1,0,11,16,Mixed,Does not apply,Good
229,Rookery School,Rookery Road,B21 9PY,http://www.rookeryschool.co.uk/,Primary,-1.9388367709999998,52.51108752,Rookery School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
230,Sacred Heart Catholic School,Earlsbury Gardens,B20 3AE,http://www.sacredheart.bham.sch.uk/,Primary,-1.900972748,52.509461800000004,Sacred Heart Catholic School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Special Measures
231,Sacred Heart Catholic School,Earlsbury Gardens,B20 3AE,http://www.sacredheart.bham.sch.uk/,Primary,-1.900972748,52.509461800000004,Sacred Heart Catholic School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Roman Catholic,
232,Saint Barnabas Church of England Primary School,Spring Lane,B24 9BY,http://www.stbarnabaserdington.com/,Primary,-1.832387345,52.52081995,Saint Barnabas Church of England Primary School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Church of England,Good
233,Saint Barnabas Church of England Primary School,Spring Lane,B24 9BY,http://www.stbarnabaserdington.com/,Primary,-1.832387345,52.52081995,Saint Barnabas Church of England Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Church of England,
234,Saltley Academy,Belchers Lane,B9 5RX,http://www.saltley.bham.sch.uk/,Secondary,-1.831997154,52.48395163,Saltley Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,0,11,16,Mixed,Does not apply,Good
235,Selly Oak Trust School,Oak Tree Lane,B29 6HZ,http://www.sellyoak.bham.sch.uk/,Special,-1.938279535,52.43510401,Selly Oak Trust School,Birmingham,Open,Special school,Foundation special school,1,1,1,11,19,Mixed,Does not apply,Good
236,Severne Junior Infant and Nursery School,Severne Road,B27 7HR,http://www.severne.bham.sch.uk/,Primary,-1.821935165,52.43388965,Severne Junior Infant and Nursery School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
237,Shaw Hill Primary School,Anthony Road,B8 3AN,http://www.shawhill.bham.sch.uk/,Primary,-1.84491418,52.48775849,Shaw Hill Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Outstanding
238,Shenley Academy,Shenley Lane,B29 4HE,http://www.shenleyacademy.org/,Secondary,-1.9769084380000002,52.42988562,Shenley Academy,Birmingham,Open,Academy,Academy sponsor led,0,1,1,11,19,Mixed,Does not apply,Good
239,Skilts School,Gorcott Hill,B98 9ET,http://www.skilts.bham.sch.uk/,Special,-1.8627890390000001,52.30785745,Skilts School,Redditch,Closed,Special school,Community special school,1,1,0,5,14,Boys,Does not apply,Requires improvement
240,Slade Primary School,Slade Road,B23 7PX,http://www.slade.bham.sch.uk/,Primary,-1.858009896,52.51362551,Slade Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,None,Good
241,Sladefield Infant School,Bamville Road,B8 2TJ,http://www.slfield.bham.sch.uk/,Infants,-1.832318355,52.49241164,Sladefield Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,5,7,Mixed,Does not apply,Outstanding
242,Somerville Primary (NC) School,Somerville Road,B10 9EN,http://web.somerville.bham.sch.uk/,Primary,-1.8551292259999999,52.47093776,Somerville Primary (NC) School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
243,Springfield House Community Special School,Kenilworth Road,B93 0AJ,http://www.spfldhs.bham.sch.uk/,Special,-1.704616905,52.38340948,Springfield House Community Special School,Solihull,Open,Special school,Community special school,1,0,0,4,11,Mixed,Does not apply,Special Measures
244,Springfield Primary School,Springfield Road,B13 9NY,http://www.springf.bham.sch.uk/,Primary,-1.858578272,52.44333453,Springfield Primary School,Birmingham,Closed,Maintained school,Community school,1,0,0,2,11,Mixed,Does not apply,Special Measures
245,St Alban's Catholic Primary School,Broad Lane,B14 5AL,http://www.st-albans.eschools.co.uk/site,Primary,-1.8886438490000002,52.41454359,St Alban's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
246,St Ambrose Barlow Catholic Primary School,Shirley Road,B28 9JJ,http://www.sab.bham.sch.uk/,Primary,-1.835281231,52.42458625,St Ambrose Barlow Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,5,11,Mixed,Roman Catholic,Outstanding
247,St Anne's Catholic Primary School,Lowe Street,B12 0ER,http://www.st-annes.bham.sch.uk/,Primary,-1.8796265269999999,52.47042573,St Anne's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
248,St Augustine's Catholic Primary School,Avenue Road,B21 8ED,http://www.staugust.bham.sch.uk/,Primary,-1.945124575,52.51421369,St Augustine's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
249,St Bernadette's Catholic Primary School,Hobmoor Road,B25 8QL,http://www.stberns.co.uk/,Primary,-1.827679569,52.46886476,St Bernadette's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
250,St Bernard's Catholic Primary School,Wake Green Road,B13 9QE,http://birmingham.schooljotter.com/bernards,Primary,-1.8614037490000002,52.43697205,St Bernard's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,5,11,Mixed,Roman Catholic,Good
251,St Brigid's Catholic Primary School,Frankley Beeches Road,B31 5AB,http://www.stbrigid.bham.sch.uk/,Primary,-1.97625378,52.41081758,St Brigid's Catholic Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Good
252,St Catherine of Siena Catholic Primary School,Great Colmore Street,B15 2AY,http://www.stcathrc.bham.sch.uk/,Primary,-1.9012040730000002,52.47188409,St Catherine of Siena Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Outstanding
253,St Chad's Catholic Primary School,Hospital Street,B19 3XD,http://www.stchadsprimary.co.uk/,Primary,-1.901128688,52.49247997,St Chad's Catholic Primary School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
254,St Chad's Catholic Primary School,Hospital Street,B19 3XD,http://www.stchadsprimary.co.uk/,Primary,-1.901128688,52.49247997,St Chad's Catholic Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Roman Catholic,
255,St Clare's Catholic Primary School,Robert Road,B20 3RT,http://www.stclare.bham.sch.uk/,Primary,-1.9132007690000001,52.51009168,St Clare's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Requires improvement
256,St Clement's Church of England Academy,Butlin Street,B7 5NS,http://www.stclemce.bham.sch.uk/,Primary,-1.8679081219999998,52.50017902,St Clement's Church of England Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Church of England,Good
257,St Columba's Catholic Primary School,Lickey Road,B45 8TD,http://www.stcolumba.bham.sch.uk/,Primary,-1.9909462880000002,52.39469141,St Columba's Catholic Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Roman Catholic,Good
258,St Cuthbert's RC Junior and Infant (NC) School,Gumbleberrys Close,B8 2PS,http://www.stcuthbt.bham.sch.uk/,Primary,-1.818572949,52.48620637,St Cuthbert's RC Junior and Infant (NC) School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
259,St Dunstan's Catholic Primary School,Drayton Road,B14 7LP,http://www.stdunstans.bham.sch.uk/,Primary,-1.889805374,52.43225512,St Dunstan's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
260,St Edmund Campion Catholic School & Sixth Form Centre,Sutton Road,B23 5XA,http://www.stedcamp.bham.sch.uk/,Secondary,-1.830641236,52.53033774,St Edmund Campion Catholic School & Sixth Form Centre,Birmingham,Closed,Maintained school,Voluntary aided school,0,1,1,11,18,Mixed,Roman Catholic,Good
261,St Edmund's Catholic Primary School,Rosebery Street,B18 7PA,http://www.stedmund.bham.sch.uk/,Primary,-1.923215869,52.48701248,St Edmund's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Requires improvement
262,St Edward's Catholic Primary School,Greenland Road,B29 7PN,http://www.stedward.bham.sch.uk/,Primary,-1.9190526419999998,52.43869931,St Edward's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
263,St Francis Catholic Primary School,Nursery Road,B19 1PH,http://www.stfranrc.bham.sch.uk/,Primary,-1.914226566,52.49775827,St Francis Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
264,St Francis Church of England Aided Primary School and Nursery,Teazel Avenue,B30 1LZ,http://www.stfrancisprimaryandnursery.co.uk/,Primary,-1.945619135,52.42331272,St Francis Church of England Aided Primary School and Nursery,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Church of England,Good
265,"St George's Church of England Academy, Newtown",St George's Street,B19 3QY,http://www.stgnewtown.bham.sch.uk/,Primary,-1.903209975,52.49036911,"St George's Church of England Academy, Newtown",Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Church of England,Good
266,St George's Church of England Primary School,Beaufort Road,B16 8HY,http://www.stgeorgesb16.com/,Primary,-1.928480814,52.47315326,St George's Church of England Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,5,11,Mixed,Church of England,Good
267,St Gerard's RC Junior and Infant School,Yatesbury Avenue,B35 6LB,http://www.stgerard.bham.sch.uk/,Primary,-1.786632534,52.52263432,St Gerard's RC Junior and Infant School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
268,St James Catholic Primary School,Leach Heath Lane,B45 9BN,http://www.stjamescatholicprimary.co.uk,Primary,-2.011886903,52.39231768,St James Catholic Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Roman Catholic,
269,"St James Church of England Primary School, Handsworth",Sandwell Road,B21 8NH,http://www.stjamesce.bham.sch.uk/page/default.asp?title=Home&pid=1,Primary,-1.949198786,52.50786504,"St James Church of England Primary School, Handsworth",Birmingham,Open,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Good
270,St John and Monica Catholic Primary School,Chantry Road,B13 8DW,http://www.stjonmon.bham.sch.uk/,Primary,-1.894424539,52.45042808,St John and Monica Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
271,St John Fisher Catholic Primary School,Alvechurch Road,B31 3PN,http://www.stjonfsh.bham.sch.uk/,Primary,-1.959777632,52.39367813,St John Fisher Catholic Primary School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
272,St John Fisher Catholic Primary School,Alvechurch Road,B31 3PN,http://www.stjonfsh.bham.sch.uk/,Primary,-1.959777632,52.39367813,St John Fisher Catholic Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Roman Catholic,
273,St John's CofE Primary School,Stratford Road,B11 4EA,http://www.st-johns-pri.bham.sch.uk/,Primary,-1.864572125,52.44950781,St John's CofE Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Church of England,Outstanding
274,St Jude's Catholic Primary School,St Jude's Close,B14 5PD,http://www.stjuderc.bham.sch.uk/,Primary,-1.889394385,52.40538522,St Jude's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
275,St Laurence Church Infant School,Bunbury Road,B31 2DJ,http://www.stlrnci.bham.sch.uk/,Infants,-1.9644494819999998,52.41436435,St Laurence Church Infant School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,7,Mixed,Church of England,Good
276,St Laurence Church Junior School,Bunbury Road,B31 2DJ,http://www.stlrncj.bham.sch.uk/,Juniors,-1.962787109,52.41488664,St Laurence Church Junior School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,7,11,Mixed,Church of England,Good
277,St Margaret Mary RC Junior and Infant School,Perry Common Road,B23 7AB,http://www.stmgtmry.bham.sch.uk/,Primary,-1.8637844430000001,52.53329313,St Margaret Mary RC Junior and Infant School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
278,St Mark's Catholic Primary School,Almond Croft,B42 1NU,http://www.stmarkrc.bham.sch.uk/,Primary,-1.928632268,52.53450055,St Mark's Catholic Primary School,Birmingham,"Open, but proposed to close",Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Outstanding
279,St Martin de Porres Catholic Primary School,Oakland Road,B13 9DN,http://www.stmartindeporres.org.uk/,Primary,-1.881792286,52.4477282,St Martin de Porres Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
280,St Mary and St John Junior and Infant School,Beaufort Road,B23 7NB,http://www.stmryjon.bham.sch.uk/,Primary,-1.848274433,52.51660705,St Mary and St John Junior and Infant School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Special Measures
281,St Mary and St John Junior and Infant School,Beaufort Road,B23 7NB,http://www.stmryjon.bham.sch.uk/,Primary,-1.848274433,52.51660705,St Mary and St John Junior and Infant School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Roman Catholic,
282,St Mary's Catholic Primary School,Vivian Road,B17 0DN,http://www.stmaryrc.bham.sch.uk/,Primary,-1.95215373,52.45649592,St Mary's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Outstanding
283,St Mary's Church of England Primary School,Lodge Hill Road,B29 6NU,http://www.stmryb29.bham.sch.uk/,Primary,-1.943054963,52.43908002,St Mary's Church of England Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Church of England,Good
284,"St Marys C of E Primary and Nursery, Academy, Handsworth",Hamstead Road,B20 2RW,http://www.stmryb20.bham.sch.uk/,Primary,-1.919416557,52.51119287,"St Marys C of E Primary and Nursery, Academy, Handsworth",Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Church of England,Good
285,St Matthew's CofE Primary School,Duddeston Manor Road,B7 4JR,http://www.st-matthews.bham.sch.uk/,Primary,-1.8782794409999999,52.48919542,St Matthew's CofE Primary School,Birmingham,Open,Maintained school,Voluntary controlled school,1,0,0,4,11,Mixed,Church of England,Outstanding
286,"St Michael's CofE Primary Academy, Handsworth",Piers Road,B21 0UX,http://www.stmich21.bham.sch.uk/,Primary,-1.9248125790000001,52.5006512,"St Michael's CofE Primary Academy, Handsworth",Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Church of England,Requires improvement
287,St Nicholas Catholic Primary School,Jockey Road,B73 5US,http://www.stnicholassutton.org.uk/,Primary,-1.8398425930000002,52.54980462,St Nicholas Catholic Primary School,Sutton Coldfield,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Roman Catholic,
288,St Patrick's Catholic Primary School,Dudley Road,B18 7QW,http://www.stpatrc.bham.sch.uk/,Primary,-1.931640445,52.48626241,St Patrick's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
289,St Paul's Catholic Primary School,Sisefield Road,B38 9JB,http://www.stpaulrc.bham.sch.uk/,Primary,-1.924628276,52.40118575,St Paul's Catholic Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,Good
290,St Paul's School for Girls,Vernon Road,B16 9SL,http://www.stpaulgl.bham.sch.uk/page_viewer.asp?page=Home&pid=1,Secondary,-1.9407703319999998,52.47556927,St Paul's School for Girls,Birmingham,Open,Maintained school,Voluntary aided school,0,1,1,11,18,Girls,Roman Catholic,Outstanding
291,St Peter and St Paul RC Junior and Infant School,Kingsbury Road,B24 9ND,http://www.ssptrpl.bham.sch.uk/,Primary,-1.823982485,52.51820064,St Peter and St Paul RC Junior and Infant School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
292,St Peter and St Paul RC Junior and Infant School,Kingsbury Road,B24 9ND,http://www.ssptrpl.bham.sch.uk/,Primary,-1.823982485,52.51820064,St Peter and St Paul RC Junior and Infant School,Birmingham,Open,Academy,Academy converter,1,0,0,4,11,Mixed,Roman Catholic,
293,St Peter's Catholic Primary School,Adams Hill,B32 3QD,http://www.stpeterc.bham.sch.uk/,Primary,-1.99977399,52.43631834,St Peter's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Outstanding
294,St Peters CofE Primary School,Old Church Road,B17 0BE,http://www.st-petersce.bham.sch.uk/,Primary,-1.958211269,52.45423508,St Peters CofE Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Church of England,Good
295,St Saviour's C of E Primary School,Alum Rock Road,B8 1JB,http://www.stsavioursceprimary.co.uk/,Primary,-1.857447497,52.49157256,St Saviour's C of E Primary School,Birmingham,Open,Maintained school,Voluntary controlled school,1,0,0,5,11,Mixed,Church of England,Good
296,St Teresa's Catholic Primary School,Butlers Road,B20 2NY,http://www.stteresa.bham.sch.uk/,Primary,-1.9229282619999999,52.51684086,St Teresa's Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Good
297,St Thomas Aquinas Catholic School,Wychall Lane,B38 8AP,http://www.stacs.org/,Secondary,-1.94732598,52.41004419,St Thomas Aquinas Catholic School,Birmingham,Open,Academy,Academy converter,0,1,1,11,18,Mixed,Roman Catholic,Good
298,St Thomas More Catholic Primary School,Horse Shoes Lane,B26 3HU,http://www.sttommor.bham.sch.uk/,Primary,-1.782846783,52.45635347,St Thomas More Catholic Primary School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,4,11,Mixed,Roman Catholic,Serious Weaknesses
299,St Thomas More Catholic Primary School,Horse Shoes Lane,B26 3HU,http://www.sttommor.bham.sch.uk/,Primary,-1.782846783,52.45635347,St Thomas More Catholic Primary School,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Roman Catholic,
300,St Vincent's Catholic Primary School,Vauxhall Grove,B7 4HP,http://www.stvincnt.bham.sch.uk/,Primary,-1.875316039,52.48510191,St Vincent's Catholic Primary School,BIRMINGHAM,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
301,St Wilfrid's Catholic Junior and Infant School,Shawsdale Road,B36 8LY,http://www.stwilfrd.bham.sch.uk/,Primary,-1.800389702,52.50495707,St Wilfrid's Catholic Junior and Infant School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
302,St Wilfrid's Catholic Junior and Infant School,Shawsdale Road,B36 8LY,http://www.stwilfrd.bham.sch.uk/,Primary,-1.800389702,52.50495707,St Wilfrid's Catholic Junior and Infant School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,
303,Stanville Primary School,Stanville Road,B26 3YN,https://intranet.stanville.bham.sch.uk/home/SitePages/Homepage.aspx,Primary,-1.7791817369999998,52.46236998,Stanville Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
304,Starbank School,Starbank Road,B10 9LR,http://www.starbankprimary.co.uk/www/,All Through,-1.832756696,52.47000031,Starbank School,Birmingham,Open,Academy,Academy sponsor led,1,1,0,3,16,Mixed,Does not apply,
305,Stechford Primary School,Albert Road,B33 8SJ,http://www.stechfordprimary.co.uk/bham/primary/stechford,Primary,-1.813152325,52.47958134,Stechford Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Good
306,Stirchley Primary School,Pershore Road,B30 2JL,http://www.stirchly.bham.sch.uk/,Primary,-1.9231593919999999,52.42612319,Stirchley Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
307,Stockland Green School,Slade Road,B23 7JH,http://www.stockgrn.bham.sch.uk/home/,Secondary,-1.8618552240000001,52.523240200000004,Stockland Green School,Birmingham,Open,Academy,Academy converter,0,1,0,11,16,Mixed,Does not apply,Good
308,Summerfield Junior and Infant School,Cuthbert Road,B18 4AH,http://www.sumfield.bham.sch.uk/,Primary,-1.939662936,52.48874799,Summerfield Junior and Infant School,Birmingham,Open,Maintained school,Community school,1,0,0,3,11,Mixed,Does not apply,Requires improvement
309,Sundridge Primary School,Sundridge Road,B44 9NY,http://www.sundridge.bham.sch.uk/,Primary,-1.8962033059999999,52.55777834,Sundridge Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,4,11,Mixed,Does not apply,Requires improvement
310,Sutton Coldfield Grammar School for Girls,Jockey Road,B73 5PT,http://www.suttcold.bham.sch.uk/scgsg/index.php,Secondary,-1.8298265180000002,52.55428557,Sutton Coldfield Grammar School for Girls,Sutton Coldfield,Open,Academy,Academy converter,0,1,1,11,18,Girls,Does not apply,
311,Swanshurst School,Brook Lane,B13 0TW,http://www.swanshurst.org/,Secondary,-1.874183805,52.42967285,Swanshurst School,Birmingham,Open,Maintained school,Community school,0,1,1,11,19,Girls,Does not apply,Outstanding
312,Tame Valley Academy,Chillinghome Road,B36 8QJ,http://www.tamevalleyacademy.co.uk/,Primary,-1.8145699869999998,52.50663432,Tame Valley Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Good
313,The Arthur Terry School,Kittoe Road,B74 4RZ,http://www.arthurterry.bham.sch.uk/,Secondary,-1.8361934580000001,52.58964437,The Arthur Terry School,Sutton Coldfield,Open,Academy,Academy converter,0,1,1,11,18,Mixed,Does not apply,
314,The Bridge School,Coppice View Road,B73 6UE,http://www.bridgespecialschool.co.uk/,Special,-1.876458256,52.55747805,The Bridge School,Birmingham,Open,Special school,Academy special converter,1,0,0,2,11,Mixed,Does not apply,Good
315,The Dame Ellen Pinsent School,Ardencote Road,B13 0RW,http://www.dameellenpinsent.bham.sch.uk/,Special,-1.883096123,52.42756488,The Dame Ellen Pinsent School,Birmingham,Open,Special school,Foundation special school,1,0,0,5,11,Mixed,Does not apply,Outstanding
316,The Deanery Church of England Primary School,Fox Hollies Road,B76 2RD,http://web.deanery.bham.sch.uk/,Primary,-1.796576784,52.54270826,The Deanery Church of England Primary School,Sutton Coldfield,Open,Academy,Academy converter,1,0,0,2,11,Mixed,Church of England,Outstanding
317,The Meadows Primary School,Bristol Road South,B31 2SW,http://www.meadowsprimary.org/,Primary,-1.982036885,52.40412101,The Meadows Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,5,11,Mixed,Does not apply,Requires improvement
318,The Oaklands Primary School,Dolphin Lane,B27 7BT,http://www.theoaklands.org.uk/,Primary,-1.8205968369999999,52.44111561,The Oaklands Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
319,The Oaks Primary School,Bells Lane,B14 5RY,http://www.theoaks.bham.sch.uk/,Primary,-1.901352909,52.40507034,The Oaks Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,2,11,Mixed,Does not apply,Good
320,The Oratory Roman Catholic Primary School,Oliver Road,B16 9ER,http://www.oratory.bham.sch.uk/,Primary,-1.9285622669999998,52.47744146,The Oratory Roman Catholic Primary School,Birmingham,Open,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Requires improvement
321,The Orchards Primary Academy,Rhayader Road,B31 1TX,http://www.theorchardsprimary.com/,Primary,-1.985118965,52.41838862,The Orchards Primary Academy,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
322,The Pines Special School,Dreghorn Road,B36 8LL,http://www.thepinesspecialschool.com/,Special,-1.802173147,52.50478929999999,The Pines Special School,Birmingham,Open,Special school,Foundation special school,1,1,0,3,16,Mixed,Does not apply,Good
323,The Rosary Catholic Primary School,Bridge Road,B8 3SF,http://www.rosaryrc.bham.sch.uk/,Primary,-1.8508271719999998,52.48507364,The Rosary Catholic Primary School,Birmingham,Closed,Maintained school,Voluntary aided school,1,0,0,3,11,Mixed,Roman Catholic,Good
324,The Rosary Catholic Primary School,Bridge Road,B8 3SF,http://www.rosaryrc.bham.sch.uk/,Primary,-1.8508271719999998,52.48507364,The Rosary Catholic Primary School,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Roman Catholic,
325,The Shirestone Academy,Shirestone Road,B33 0DH,http://www.shirestn.bham.sch.uk/,Primary,-1.76808173,52.47966348,The Shirestone Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,3,11,Mixed,Does not apply,Outstanding
326,The University of Birmingham School,Weoley Park Road,B29 6QU,http://www.universityschool.bham.ac.uk/,Secondary,-1.947395669,52.43567389,The University of Birmingham School,Birmingham,Open,Academy,Free schools,0,1,1,11,19,Mixed,None,Good
327,Thornton Primary School,Thornton Road,B8 2LQ,http://www.thornton.bham.sch.uk/,Primary,-1.827979705,52.49082320000001,Thornton Primary School,Birmingham,Open,Maintained school,Community school,1,0,0,7,11,Mixed,Does not apply,Good
328,Timberley Academy,Bradley Road,B34 7RL,http://www.timberleyacademy.co.uk/,Primary,-1.770995887,52.49692988,Timberley Academy,Birmingham,Open,Academy,Academy converter,1,0,0,3,11,Mixed,Does not apply,Good
329,Tiverton Academy,Tiverton Road,B29 6BW,http://www.tiverton.bham.sch.uk/,Primary,-1.9326625590000002,52.44357855,Tiverton Academy,Birmingham,Open,Academy,Academy sponsor led,1,0,0,4,11,Mixed,Does not apply,Outstanding
