,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING
96,Grove School,dawson road,B21 9HB,-1.9334668240000001,52.50566375,Handsworth,Mixed,Good
97,Guardian Angels Catholic Primary School,hurst lane,B34 7HN,-1.764234927,52.49694358,Shard End,Mixed,Good
98,Guardian Angels Catholic Primary School,hurst lane,B34 7HN,-1.764234927,52.49694358,Shard End,Mixed,
99,Gunter Primary School,gunter road,B24 0RU,-1.8084520219999998,52.52108037,Pype Hayes,Mixed,Good
100,Hall Green Infant School,petersfield road,B28 0AR,-1.8454493459999999,52.43113572,Hall Green,Mixed,Good
101,Hall Green Junior School,stratford road,B28 9AJ,-1.844361392,52.43101746,Hall Green,Mixed,Good
102,Hall Green School,southam road,B28 0AA,-1.8489437180000001,52.43292928,Hall Green,Mixed,Good
103,Hallmoor School,scholars gate,B33 0DL,-1.780264604,52.48110716,Kitts Green,Mixed,Requires improvement
104,Hamilton School,hamilton road,B21 8AH,-1.9439402,52.5069457,Handsworth,Mixed,Outstanding
105,Hamstead Hall Academy,craythorne avenue,B20 1HL,-1.94211219,52.53031862,Handsworth Wood,Mixed,Good
106,Harborne Academy,harborne road,B15 3JL,-1.9382423219999998,52.46185833,Edgbaston,Mixed,Good
107,Harborne Primary School,station road,B17 9LU,-1.9529633430000002,52.45907815,Harborne,Mixed,Outstanding
108,Hawkesley Church Primary Academy,376 shannon road,B38 9TR,-1.9378668769999998,52.39362368,Kings Norton,Mixed,Good
109,Hawthorn Primary School,hawthorn road,B44 8QR,-1.877148367,52.53579792,Kingstanding,Mixed,Requires improvement
110,Heartlands Academy,gt francis street,B7 4QR,-1.874864485,52.48858054,Nechells,Mixed,Outstanding
111,Heath Mount Primary School,mary street,B12 9ST,-1.889912302,52.46023213,Balsall Heath,Mixed,Requires improvement
112,Heathfield Primary School,heathfield road,B19 1HJ,-1.908965964,52.50589924,,Mixed,Good
113,Heathlands Primary Academy,heath way,B34 6NB,-1.795742295,52.50004071,Castle Bromwich,Mixed,Requires improvement
114,Highfield Junior and Infant School,highfield road,B8 3QF,-1.849091482,52.49312638,Saltley,Mixed,Good
115,Highters Heath Community School,highters heath lane,B14 4LY,-1.871933773,52.41230618,Kings Heath,Mixed,Requires improvement
116,Hill West Primary School,clarence road,B74 4LD,-1.843174902,52.59554933,Four Oaks,Mixed,Good
117,Hillstone Primary School,hillstone road,B34 7PY,-1.766124909,52.49329737,Shard End,Mixed,Good
118,Hodge Hill College,bromford road,B36 8HB,-1.8205279630000002,52.50158216,Hodge Hill,Mixed,Good
119,Hodge Hill Girls' School,bromford road,B36 8EY,-1.817798574,52.50259384,Hodge Hill,Girls,Good
120,Hodge Hill Primary School,twycross grove,B36 8LD,-1.816048388,52.50189893,Hodge Hill,Mixed,Requires improvement
121,Holland House Infant School and Nursery,holland road,B72 1RE,-1.821595619,52.55815715,,Mixed,Outstanding
122,Holly Hill Methodist CofE Infant School,new street,B45 0EU,-2.01696154,52.40461546,Rubery,Mixed,Good
123,Hollyfield Primary School,hollyfield road,B75 7SG,-1.8011939540000002,52.56189146,,Mixed,Good
124,Hollywood Primary School,pickenham road,B14 4TG,-1.879280386,52.40304517,Hollywood,Mixed,Good
125,Holte School,wheeler street,B19 2EP,-1.9002416290000002,52.50048929999999,Lozells,Mixed,Requires improvement
126,Holy Cross Catholic Primary School,laburnum drive,B76 2SP,-1.7930485090000001,52.55615989999999,Walmley,Mixed,Good
127,Holy Family Catholic Primary School,coventry road,B10 0HT,-1.8460061419999998,52.46555925,,Mixed,Good
128,Holy Souls Catholic Primary School,mallard close,B27 6BN,-1.8189089369999998,52.44736112,Acocks Green,Mixed,Serious Weaknesses
129,Holy Souls Catholic Primary School,mallard close,B27 6BN,-1.8189089369999998,52.44736112,Acocks Green,Mixed,
130,Holy Trinity CE Primary Academy (Handsworth),havelock road,B20 3LP,-1.906843277,52.51343114,Handsworth,Mixed,Requires improvement
131,Holyhead School,milestone lane,B21 0HN,-1.94663839,52.50524789,Handsworth,Mixed,Good
132,James Brindley School,bell barn road,B15 2AF,-1.906685718,52.46938032,Edgbaston,Mixed,Good
133,James Watt Primary School,boulton road,B21 0RE,-1.9392792580000002,52.49998523,Soho,Mixed,Good
134,Jervoise School,jervoise road,B29 5QU,-1.968900246,52.44044703,Weoley Castle,Mixed,Good
135,John Willmott School,reddicap heath road,B75 7DY,-1.79558003,52.56049742,,Mixed,Requires improvement
136,John Willmott School,reddicap heath road,B75 7DY,-1.79558003,52.56049742,,Mixed,
137,King Edward VI Aston School,frederick road,B6 6DJ,-1.885649753,52.50366755,Aston,Boys,
138,King Edward VI Camp Hill School for Boys,vicarage road,B14 7QJ,-1.903237165,52.43078346,Kings Heath,Boys,
139,King Edward VI Camp Hill School for Girls,vicarage road,B14 7QJ,-1.9022952080000002,52.43109734,Kings Heath,Girls,Outstanding
140,King Edward VI Five Ways School,scotland lane,B32 4BT,-1.999322494,52.43210835,Bartley Green,Mixed,
141,King Edward VI Handsworth School,rose hill road,B21 9AR,-1.92333607,52.50258307,,Girls,Outstanding
142,King Edward VI Sheldon Heath Academy,sheldon heath road,B26 2RZ,-1.77862062,52.46861699,Sheldon,Mixed,Good
143,King Solomon International Business School,faraday wharf,B7 4BB,-1.887234904,52.48866484,,Mixed,Special Measures
144,King Solomon International Business School,faraday wharf,B7 4BB,-1.887234904,52.48866484,,Mixed,
145,King's Norton Boys' School,northfield road,B30 1DY,-1.941583325,52.41716157,King's Norton,Boys,Good
146,Kings Heath Boys,hollybank road,B13 0RJ,-1.880371929,52.423399700000004,Kings Heath,Boys,Good
147,Kings Heath Primary School,valentine road,B14 7AJ,-1.889763761,52.43713662,Kings Heath,Mixed,Good
148,Kings Norton Girls' School,selly oak road,B30 1HW,-1.9352652019999999,52.42077999,Kings Norton,Girls,Outstanding
149,Kings Norton Junior and Infant School,pershore road south,B30 3EU,-1.927582926,52.40814589,Kings Norton,Mixed,Special Measures
150,Kings Rise Academy,hornsey road,B44 0JL,-1.87556183,52.54950585,Kingstanding,Mixed,Requires improvement
151,Kingsland Primary School (NC),kingsland road,B44 9PU,-1.887678279,52.55759084,,Mixed,Good
152,Kingsthorne Primary School,cranbourne road,B44 0BX,-1.882447912,52.54428972,Kingstanding,Mixed,Good
153,Ladypool Primary School,stratford road,B11 1QT,-1.87423552,52.46116948,Sparkbrook,Mixed,Good
154,Lakey Lane Junior and Infant School,lakey lane,B28 8RY,-1.8309165180000002,52.43153838,Hall Green,Mixed,Good
155,Langley School,trinity road,B75 6TJ,-1.8255111240000002,52.58009953,,Mixed,Good
156,Lea Forest Primary Academy,hurstcroft road,B33 9RD,-1.786175485,52.48314966,Kitts Green,Mixed,Good
157,Leigh Primary School,leigh road,B8 2YH,-1.84724953,52.49761905,Washwood Heath,Mixed,Good
158,Lindsworth School,monyhull hall road,B30 3QA,-1.905883803,52.41032424,Kings Norton,Mixed,Good
159,Little Sutton Primary School,worcester lane,B75 5NL,-1.8120508919999998,52.59304089,,Mixed,Outstanding
160,Longwill A Primary School for Deaf Children,bell hill,B31 1LD,-1.9712089259999999,52.41917726,Northfield,Mixed,Good
161,Lordswood Boys' School,hagley road,B17 8BJ,-1.965065321,52.47204583,Harborne,Boys,
162,Lordswood Girls' School and Sixth Form Centre,knightlow road,B17 8QB,-1.9649937519999998,52.46951964,Harborne,Girls,
163,Lozells Junior and Infant School and Nursery,wheeler street,B19 2EP,-1.900317096,52.49966226,,Mixed,Good
164,Lyndon Green Infant School,wychwood cresent,B26 1LZ,-1.794753364,52.46022689,Sheldon,Mixed,Good
165,Lyndon Green Junior School,wensley road,B26 1LU,-1.795704091,52.46054767,Sheldon,Mixed,Requires improvement
166,Maney Hill Primary School,maney hill road,B72 1JU,-1.8161103669999998,52.55066021,,Mixed,Good
167,Mansfield Green E-ACT Academy,albert road,B6 5NH,-1.897648925,52.50366772,Aston,Mixed,Outstanding
168,Mapledene Primary School,mapledene road,B26 3XE,-1.7662453359999999,52.45942344,,Mixed,Good
169,Marlborough Infant School,marlborough road,B10 9NY,-1.849361078,52.47381912,Small Heath,Mixed,Requires improvement
170,Marlborough Junior School,green lane,B10 9NY,-1.849374904,52.47414313,Small Heath,Mixed,Requires improvement
171,Marlborough Junior School,green lane,B10 9NY,-1.849374904,52.47414313,Small Heath,Mixed,
172,Marsh Hill Primary School,marsh hill,B23 7HY,-1.8678922869999999,52.52517091,Erdington,Mixed,Good
173,Maryvale Catholic Primary School,old oscott hill,B44 9AG,-1.892097379,52.54795779,Kingstanding,Mixed,Good
174,Mayfield School,heathfield road,B19 1HJ,-1.909984036,52.50511784,Lozells,Mixed,Serious Weaknesses
175,Mayfield School,heathfield road,B19 1HJ,-1.909984036,52.50511784,Lozells,Mixed,
176,Mere Green Primary School,mere green road,B75 5BL,-1.828115194,52.58840852,,Mixed,Outstanding
177,Merritts Brook Primary E-ACT Academy,trescott road,B31 5QD,-1.992028049,52.41090413,Northfield,Mixed,Good
178,Minworth Junior and Infant School,water orton lane,B76 9BU,-1.768594859,52.52785052,Minworth,Mixed,Good
179,Montgomery Primary Academy,white road,B11 1EH,-1.865647876,52.46352438,Sparkbrook,Mixed,Good
180,Moor Hall Primary School,rowallan road,B75 6RE,-1.814916328,52.58642891,,Mixed,Outstanding
181,Moseley Church of England Primary School,oxford road,B13 9EH,-1.88437922,52.44305593,Moseley,Mixed,Outstanding
182,Nansen Primary School,naseby road,B8 3HG,-1.844708302,52.49143963,,Mixed,Special Measures
183,Nechells Primary E-ACT Academy,eliot street,B7 5LB,-1.86321176,52.50402136,Nechells,Mixed,Good
184,Nelson Junior and Infant School,king edward's road,B1 2PJ,-1.916688433,52.4810747,Ladywood,Mixed,Good
185,Nelson Mandela School,colville road,B12 8EH,-1.874558051,52.45642312,Sparkbrook,Mixed,Outstanding
186,New Oscott Primary School,markham road,B73 6QR,-1.863893773,52.55521955,,Mixed,Good
187,Nishkam High School,great king street north,B19 2LF,-1.9074108419999998,52.495703500000005,,Mixed,Outstanding
188,Nishkam Primary School Birmingham,1-7 soho road,B21 9SN,-1.9241786680000001,52.50094746,Handsworth,Mixed,Outstanding
189,Nonsuch Primary School,wood leasow,B32 3SE,-1.992893225,52.44426269,Woodgate Valley,Mixed,Good
190,North Birmingham Academy,395 college road,B44 0HF,-1.874650497,52.53388497,,Mixed,Good
191,Northfield Manor Primary Academy,swarthmore road,B29 4JT,-1.9620394730000001,52.4296211,Selly Oak,Mixed,Good
192,Oasis Academy Blakenhale Infants,blakenhale road,B33 0XD,-1.782376416,52.47416172,Garrett's Green,Mixed,Good
193,Oasis Academy Blakenhale Junior,homestead road,B33 0XG,-1.7828071230000002,52.47338942,Garretts Green,Mixed,Good
194,Oasis Academy Boulton,boulton road,B21 0RE,-1.9385112740000001,52.50148617,,Mixed,Good
195,Oasis Academy Foundry,foundry road,B18 4LP,-1.9415406240000002,52.49429575,,Mixed,Good
196,Oasis Academy Hobmoor,wash lane,B25 8FD,-1.819637041,52.4672355,Yardley,Mixed,Good
197,Oasis Academy Short Heath,streetly road,B23 5JP,-1.858607388,52.53411418,Erdington,Mixed,Good
198,Oasis Academy Woodview,woodview drive,B15 2HU,-1.905836751,52.46714116,Edgbaston,Mixed,Requires improvement
199,Osborne Primary School,station road,B23 6UB,-1.8382587719999999,52.527282799999995,Erdington,Mixed,Serious Weaknesses
200,Osborne Primary School,station road,B23 6UB,-1.8382587719999999,52.527282799999995,Erdington,Mixed,
201,Oscott Manor School,old oscott hill,B44 9SP,-1.8924535569999998,52.54704114,Erdington,Mixed,Good
202,Our Lady and St Rose of Lima Catholic Primary School,gregory avenue,B29 5DY,-1.962595445,52.43599689,Weoley Castle,Mixed,Good
203,Our Lady of Fatima Catholic Primary School,winchfield drive,B17 8TR,-1.97594739,52.46674442,Harborne,Mixed,
204,Our Lady's Catholic Primary School,east meadway,B33 0AU,-1.7690661509999999,52.48006094,Tile Cross,Mixed,Good
205,Our Lady's Catholic Primary School,east meadway,B33 0AU,-1.7690661509999999,52.48006094,Tile Cross,Mixed,
206,Paganel Primary School,swinford road,B29 5TG,-1.968618165,52.44417783,Selly Oak,Mixed,Good
207,Paget Primary School,paget road,B24 0JP,-1.817792585,52.52187717,Pype Hayes,Mixed,Requires improvement
208,Park Hill Primary School,alcester road,B13 8BB,-1.887963911,52.45085373,,Mixed,Good
209,Parkfield Community School,parkfield road,B8 3AX,-1.849486384,52.48528773,Saltley,Mixed,Outstanding
210,Penns Primary School,berwood road,B72 1BS,-1.816508475,52.53295971,,Mixed,Good
211,Percy Shurmer Academy,longmore street,B12 9ED,-1.891669425,52.46389262,Balsall Heath,Mixed,Good
212,Plantsbrook School,upper holland road,B72 1RB,-1.818569584,52.55870986,,Mixed,Good
213,Priestley Smith School,"perry beeches campus, beeches road",B42 2PY,-1.90767078,52.54052728,Beeches Road,Mixed,Outstanding
214,Prince Albert Junior and Infant School,albert road,B6 5NH,-1.893220666,52.50420504,Aston,Mixed,
215,Princethorpe Infant School,princethorpe road,B29 5QB,-1.96878568,52.43603291,Weoley Castle,Mixed,Good
216,Princethorpe Junior School,princethorpe road,B29 5QB,-1.969064897,52.43633864,Weoley Castle,Mixed,Special Measures
217,Princethorpe Junior School,princethorpe road,B29 5QB,-1.969064897,52.43633864,Weoley Castle,Mixed,
218,Queensbridge School,queensbridge road,B13 8QB,-1.893402295,52.44110458,Moseley,Mixed,Outstanding
219,Queensbury School,wood end road,B24 8BL,-1.840330605,52.51684835,Erdington,Mixed,Serious Weaknesses
220,Queensbury School,wood end road,B24 8BL,-1.840330605,52.51684835,,Mixed,
221,Quinton Church Primary School,hagley road west,B32 1AJ,-2.00931553,52.46077706,Quinton,Mixed,Good
222,Raddlebarn Primary School,gristhorpe road,B29 7TD,-1.9276568219999999,52.43681517,,Mixed,Good
223,Reaside Academy,tresco close,B45 0HY,-2.02591734,52.40162556,Frankley,Mixed,Good
224,Rednal Hill Infant School,irwin avenue,B45 8QY,-2.000292693,52.39159913,Rednal,Mixed,Good
225,Rednal Hill Junior School,irwin avenue,B45 8QY,-2.0014976019999997,52.39129345,Rednal,Mixed,Requires improvement
226,Regents Park Community Primary School,arthur street,B10 0NJ,-1.868966801,52.47103474,Small Heath,Mixed,Good
227,Robin Hood Academy,pitmaston road,B28 9PP,-1.831570133,52.42596555,Hall Green,Mixed,Good
228,Rockwood Academy,naseby road,B8 3HG,-1.8465135819999998,52.49086293,Alum Rock,Mixed,Good
229,Rookery School,rookery road,B21 9PY,-1.9388367709999998,52.51108752,Handsworth,Mixed,Good
230,Sacred Heart Catholic School,earlsbury gardens,B20 3AE,-1.900972748,52.509461800000004,Birchfield,Mixed,Special Measures
231,Sacred Heart Catholic School,earlsbury gardens,B20 3AE,-1.900972748,52.509461800000004,Birchfield,Mixed,
232,Saint Barnabas Church of England Primary School,spring lane,B24 9BY,-1.832387345,52.52081995,Erdington,Mixed,Good
233,Saint Barnabas Church of England Primary School,spring lane,B24 9BY,-1.832387345,52.52081995,Erdington,Mixed,
234,Saltley Academy,belchers lane,B9 5RX,-1.831997154,52.48395163,Bordesley Green,Mixed,Good
235,Selly Oak Trust School,oak tree lane,B29 6HZ,-1.938279535,52.43510401,Selly Oak,Mixed,Good
236,Severne Junior Infant and Nursery School,severne road,B27 7HR,-1.821935165,52.43388965,Acocks Green,Mixed,Good
237,Shaw Hill Primary School,anthony road,B8 3AN,-1.84491418,52.48775849,Alum Rock,Mixed,Outstanding
238,Shenley Academy,shenley lane,B29 4HE,-1.9769084380000002,52.42988562,,Mixed,Good
239,Skilts School,gorcott hill,B98 9ET,-1.8627890390000001,52.30785745,Beoley,Boys,Requires improvement
