,School_Name,STREET,POSTCODE,School_Group,LNG,LAT,LOCALITY,TOWN,SCHSTATUS,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,OFSTEDRATING
90,Glenmead Primary School,glenmead road,B44 8UQ,Primary,-1.900011234,52.54123863,,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Requires improvement
91,Green Meadow Primary School,green meadow road,B29 4EE,Primary,-1.972399792,52.42882837,Selly Oak,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,Requires improvement
92,Greenholm Primary School,greenholm road,B44 8HS,Primary,-1.892434869,52.53654998,Great Barr,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,Good
93,Greenwood Academy,farnborough road,B35 7NL,Secondary,-1.782252636,52.52017209,,Birmingham,Open,Academy sponsor led,0,1,1,11,18,Mixed,Good
94,Greet Primary School,percy road,B11 3ND,Primary,-1.857791834,52.45320368,Sparkhill,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,
95,Grestone Academy,grestone avenue,B20 1ND,Primary,-1.937937012,52.52228851,Handsworth Wood,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Requires improvement
96,Grove School,dawson road,B21 9HB,Primary,-1.933466824,52.50566375,Handsworth,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
97,Guardian Angels Catholic Primary School,hurst lane,B34 7HN,Primary,-1.764234927,52.49694358,Shard End,Birmingham,Closed,Voluntary aided school,1,0,0,4,11,Mixed,Good
98,Guardian Angels Catholic Primary School,hurst lane,B34 7HN,Primary,-1.764234927,52.49694358,Shard End,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,
99,Gunter Primary School,gunter road,B24 0RU,Primary,-1.808452022,52.52108037,Pype Hayes,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
100,Hall Green Infant School,petersfield road,B28 0AR,Infants,-1.845449346,52.43113572,Hall Green,Birmingham,Open,Community school,1,0,0,3,7,Mixed,Good
101,Hall Green Junior School,stratford road,B28 9AJ,Juniors,-1.844361392,52.43101746,Hall Green,Birmingham,Open,Community school,1,0,0,7,11,Mixed,Good
102,Hall Green School,southam road,B28 0AA,Secondary,-1.848943718,52.43292928,Hall Green,Birmingham,Open,Academy converter,0,1,0,11,16,Mixed,Good
103,Hallmoor School,scholars gate,B33 0DL,Special,-1.780264604,52.48110716,Kitts Green,Birmingham,Open,Academy special sponsor led,1,1,1,4,19,Mixed,Requires improvement
104,Hamilton School,hamilton road,B21 8AH,Special,-1.9439402,52.5069457,Handsworth,Birmingham,Open,Foundation special school,1,0,0,4,11,Mixed,Outstanding
105,Hamstead Hall Academy,craythorne avenue,B20 1HL,Secondary,-1.94211219,52.53031862,Handsworth Wood,Birmingham,Open,Academy converter,0,1,1,11,18,Mixed,Good
106,Harborne Academy,harborne road,B15 3JL,Secondary,-1.938242322,52.46185833,Edgbaston,Birmingham,Open,Academy sponsor led,0,1,1,11,16,Mixed,Good
107,Harborne Primary School,station road,B17 9LU,Primary,-1.952963343,52.45907815,Harborne,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Outstanding
108,Hawkesley Church Primary Academy,376 shannon road,B38 9TR,Primary,-1.937866877,52.39362368,Kings Norton,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
109,Hawthorn Primary School,hawthorn road,B44 8QR,Primary,-1.877148367,52.53579792,Kingstanding,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Requires improvement
110,Heartlands Academy,gt francis street,B7 4QR,Secondary,-1.874864485,52.48858054,Nechells,Birmingham,Open,Academy sponsor led,0,1,1,11,18,Mixed,Outstanding
111,Heath Mount Primary School,mary street,B12 9ST,Primary,-1.889912302,52.46023213,Balsall Heath,BIRMINGHAM,Open,Community school,1,0,0,4,11,Mixed,Requires improvement
112,Heathfield Primary School,heathfield road,B19 1HJ,Primary,-1.908965964,52.50589924,,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
113,Heathlands Primary Academy,heath way,B34 6NB,Primary,-1.795742295,52.50004071,Castle Bromwich,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Requires improvement
114,Highfield Junior and Infant School,highfield road,B8 3QF,Primary,-1.849091482,52.49312638,Saltley,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Good
115,Highters Heath Community School,highters heath lane,B14 4LY,Primary,-1.871933773,52.41230618,Kings Heath,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Requires improvement
116,Hill West Primary School,clarence road,B74 4LD,Primary,-1.843174902,52.59554933,Four Oaks,Sutton Coldfield,Open,Academy converter,1,0,0,4,11,Mixed,Good
117,Hillstone Primary School,hillstone road,B34 7PY,Primary,-1.766124909,52.49329737,Shard End,Birmingham,Open,Academy converter,1,0,0,2,11,Mixed,Good
118,Hodge Hill College,bromford road,B36 8HB,Secondary,-1.820527963,52.50158216,Hodge Hill,Birmingham,Open,Community school,0,1,0,11,16,Mixed,Good
119,Hodge Hill Girls' School,bromford road,B36 8EY,Secondary,-1.817798574,52.50259384,Hodge Hill,Birmingham,Open,Community school,0,1,0,11,16,Girls,Good
120,Hodge Hill Primary School,twycross grove,B36 8LD,Primary,-1.816048388,52.50189893,Hodge Hill,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,Requires improvement
121,Holland House Infant School and Nursery,holland road,B72 1RE,Infants,-1.821595619,52.55815715,,Sutton Coldfield,Open,Community school,1,0,0,3,7,Mixed,Outstanding
122,Holly Hill Methodist CofE Infant School,new street,B45 0EU,Infants,-2.01696154,52.40461546,Rubery,Birmingham,Open,Voluntary aided school,1,0,0,3,7,Mixed,Good
123,Hollyfield Primary School,hollyfield road,B75 7SG,Primary,-1.801193954,52.56189146,,Sutton Coldfield,Open,Foundation school,1,0,0,4,11,Mixed,Good
124,Hollywood Primary School,pickenham road,B14 4TG,Primary,-1.879280386,52.40304517,Hollywood,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
125,Holte School,wheeler street,B19 2EP,Secondary,-1.900241629,52.5004893,Lozells,Birmingham,Open,Community school,0,1,1,11,18,Mixed,Requires improvement
126,Holy Cross Catholic Primary School,laburnum drive,B76 2SP,Primary,-1.793048509,52.5561599,Walmley,Sutton Coldfield,Open,Academy converter,1,0,0,4,11,Mixed,Good
127,Holy Family Catholic Primary School,coventry road,B10 0HT,Primary,-1.846006142,52.46555925,,Birmingham,Open,Voluntary aided school,1,0,0,3,11,Mixed,Good
128,Holy Souls Catholic Primary School,mallard close,B27 6BN,Primary,-1.818908937,52.44736112,Acocks Green,Birmingham,Closed,Voluntary aided school,1,0,0,4,11,Mixed,Serious Weaknesses
129,Holy Souls Catholic Primary School,mallard close,B27 6BN,Primary,-1.818908937,52.44736112,Acocks Green,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,
130,Holy Trinity CE Primary Academy (Handsworth),havelock road,B20 3LP,Primary,-1.906843277,52.51343114,Handsworth,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,Requires improvement
131,Holyhead School,milestone lane,B21 0HN,Secondary,-1.94663839,52.50524789,Handsworth,Birmingham,Open,Academy converter,0,1,1,11,18,Mixed,Good
132,James Brindley School,bell barn road,B15 2AF,Special,-1.906685718,52.46938032,Edgbaston,Birmingham,Open,Academy special converter,1,1,1,2,19,Mixed,Good
