,School_Name,STREET,POSTCODE,School_Group,LNG,LAT,LOCALITY,TOWN,SCHSTATUS,SCHOOLTYPE,ISPRIMARY,ISSECONDARY,ISPOST16,AGELOW,AGEHIGH,GENDER,OFSTEDRATING
323,The Rosary Catholic Primary School,bridge road,B8 3SF,Primary,-1.850827172,52.48507364,Saltley,Birmingham,Closed,Voluntary aided school,1,0,0,3,11,Mixed,Good
324,The Rosary Catholic Primary School,bridge road,B8 3SF,Primary,-1.850827172,52.48507364,Saltley,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,
325,The Shirestone Academy,shirestone road,B33 0DH,Primary,-1.76808173,52.47966348,Tile Cross,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Outstanding
326,The University of Birmingham School,weoley park road,B29 6QU,Secondary,-1.947395669,52.43567389,Selly Oak,Birmingham,Open,Free schools,0,1,1,11,19,Mixed,Good
327,Thornton Primary School,thornton road,B8 2LQ,Primary,-1.827979705,52.4908232,Ward End,Birmingham,Open,Community school,1,0,0,7,11,Mixed,Good
328,Timberley Academy,bradley road,B34 7RL,Primary,-1.770995887,52.49692988,Shard End,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
329,Tiverton Academy,tiverton road,B29 6BW,Primary,-1.932662559,52.44357855,Selly Oak,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Outstanding
330,Topcliffe Primary School,hawkinge drive,B35 6BS,Primary,-1.793760204,52.52071412,Castle Vale,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,Good
331,Town Junior School,ebrook road,B72 1NX,Juniors,-1.817761136,52.55801642,,Sutton Coldfield,Open,Academy sponsor led,1,0,0,7,11,Mixed,Good
332,Turves Green Boys' School,turves green,B31 4BS,Secondary,-1.970355002,52.39863469,Northfield,Birmingham,Closed,Community school,0,1,0,11,16,Boys,Special Measures
333,Turves Green Boys' School,turves green,B31 4BS,Secondary,-1.970355002,52.39863469,Northfield,Birmingham,Open,Academy sponsor led,0,1,1,11,18,Boys,
334,Turves Green Primary School,northfield,B31 4BP,Primary,-1.968936018,52.40019411,,Birmingham,Open,Academy sponsor led,1,0,0,4,11,Mixed,Good
335,Twickenham Primary School,twickenham road,B44 0NR,Primary,-1.866574419,52.54669124,Kingstanding,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
336,Uffculme School,queensbridge road,B13 8QB,Special,-1.893625584,52.43999896,,Birmingham,Open,Community special school,1,1,1,3,19,Mixed,Good
337,Victoria School,bell hill,B31 1LD,Special,-1.970458284,52.42021989,Northfield,Birmingham,Open,Community special school,1,1,1,2,19,Mixed,Outstanding
338,Walmley Infant School,walmley ash road,B76 1JB,Infants,-1.790933867,52.53554248,Walmley,Sutton Coldfield,Open,Foundation school,1,0,0,3,7,Mixed,Good
339,Walmley Junior School,walmley ash road,B76 1JB,Juniors,-1.790036156,52.53521726,,Sutton Coldfield,Open,Foundation school,1,0,0,7,11,Mixed,Outstanding
340,Ward End Primary School,ingleton road,B8 2RA,Primary,-1.831855426,52.4979668,,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Outstanding
341,Warren Farm Primary School,aylesbury crescent,B44 0DT,Primary,-1.876586912,52.54153294,Kingstanding,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Requires improvement
342,Washwood Heath Academy,burney lane,B8 2AS,Secondary,-1.819291721,52.49048663,Stechford,Birmingham,Open,Academy converter,1,1,1,4,18,Mixed,Good
343,Water Mill Primary School,water mill close,B29 6TS,Primary,-1.94712206,52.44556373,Selly Oak,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Requires improvement
344,Wattville Primary School,wattville road,B21 0DP,Primary,-1.957350126,52.50401429,Handsworth,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
345,Waverley School,yardley green road,B9 5QA,All Through,-1.82993854,52.47551618,Bordesley Green,Birmingham,Open,Academy converter,1,1,1,4,19,Mixed,Good
346,Waverley Studio College,311 yardley green road,B9 5QA,Secondary,-1.829716314,52.47588444,Bordesley Green,Birmingham,Open,Studio schools,0,1,1,14,19,Mixed,Good
347,Welford Primary School,welford road,B20 2BL,Primary,-1.920018536,52.50419915,Handsworth,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
348,Welsh House Farm Community School and Special Needs Resources Base,welsh house farm road,B32 2NG,Primary,-1.973953573,52.45286348,Quinton,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
349,West Heath Primary School,rednal road,B38 8HU,Primary,-1.95498075,52.39978963,West Heath Primary,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
350,Westminster Primary School,stamford road,B20 3PN,Primary,-1.908280028,52.50987228,Handsworth,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
351,Wheelers Lane Primary School,wheelers lane,B13 0SF,Primary,-1.887664353,52.42857167,Kings Heath,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
352,Wheelers Lane Technology College,wheelers lane,B13 0SF,Secondary,-1.887980397,52.42922733,Kings Heath,Birmingham,Open,Community school,0,1,0,11,16,Boys,Outstanding
353,Whitehouse Common Primary School,cotysmore road,B75 6BL,Primary,-1.811201883,52.57072683,,Sutton Coldfield,Open,Foundation school,1,0,0,3,11,Mixed,Good
354,Wilkes Green Infant School (NC),antrobus road,B21 9NT,Infants,-1.936348984,52.50946805,Handsworth,Birmingham,Closed,Community school,1,0,0,3,7,Mixed,Special Measures
355,Wilson Stuart School,perry common road,B23 7AT,Special,-1.868150851,52.53234514,Erdington,Birmingham,Open,Academy special converter,1,1,1,2,19,Mixed,Outstanding
356,Woodcock Hill Primary School,farwood road,B31 1BS,Primary,-1.983643872,52.43127116,Northfield,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Requires improvement
357,Woodgate Primary School,lutley grove,B32 3PN,Primary,-2.006191957,52.4372684,Bartley Green,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
358,Woodhouse Primary Academy,woodhouse road,B32 2DL,Primary,-1.983589472,52.4597695,Quinton,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
359,Woodthorpe Junior and Infant School,greenwood close,B14 6ET,Primary,-1.896115859,52.41938707,Kings Heath,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Outstanding
360,World's End Infant and Nursery School,worlds end lane,B32 2SA,Infants,-1.986240178,52.45446573,Quinton,Birmingham,Open,Community school,1,0,0,3,7,Mixed,Good
361,World's End Junior School,worlds end lane,B32 2SA,Juniors,-1.987299657,52.45440293,Quinton,Birmingham,Open,Community school,1,0,0,7,11,Mixed,Good
362,Wychall Primary School,middle field road,B31 3EH,Primary,-1.950385501,52.40844528,Northfield,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
363,Wylde Green Primary School,green lanes,B73 5JL,Primary,-1.830509445,52.53778121,,Sutton Coldfield,Open,Community school,1,0,0,5,11,Mixed,Good
364,Wyndcliffe Primary School,little green lane,B9 5BG,Primary,-1.859206999,52.47554548,Bordesley Green,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Good
365,Yardley Primary School,harvey road,B26 1TD,Primary,-1.81129915,52.46531126,Yardley,Birmingham,Open,Community school,1,0,0,4,11,Mixed,Good
366,Yardley Wood Community Primary School,school road,B14 4ER,Primary,-1.86066141,52.41579957,Yardley Wood,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
367,Yardleys School,reddings lane,B11 3EY,Secondary,-1.844159721,52.45072336,Tyseley,Birmingham,Open,Academy converter,0,1,0,11,16,Mixed,
368,Yarnfield Primary School,yarnfield road,B11 3PJ,Primary,-1.836626082,52.44592362,Tyseley,Birmingham,Open,Academy sponsor led,1,0,0,3,11,Mixed,Requires improvement
369,Yenton Primary School,chester road,B24 0ED,Primary,-1.82381645,52.53026489,Erdington,Birmingham,Closed,Community school,1,0,0,4,11,Mixed,Good
370,Yenton Primary School,chester road,B24 0ED,Primary,-1.82381645,52.53026489,Erdington,Birmingham,Open,Academy converter,1,0,0,4,11,Mixed,
371,Yew Tree Community Junior and Infant School (NC),yew tree road,B6 6RX,Primary,-1.882788259,52.51053307,Aston,Birmingham,Open,Academy converter,1,0,0,3,11,Mixed,Good
372,Yorkmead Junior and Infant School,york road,B28 8BB,Primary,-1.846372064,52.4407473,Hall Green,Birmingham,Open,Community school,1,0,0,3,11,Mixed,Good
