,School_Name,STREET,POSTCODE,LNG,LAT,LOCALITY,GENDER,OFSTEDRATING,price_paid,postcode,property_type,new_build,estate_type,street
91,Colebourne Primary School,stechford road,B34 6BJ,-1.807085803,52.49312847,Hodge Hill,Mixed,Good,70000,B34 6AT,S,N,F,stechford road
92,Colebourne Primary School,stechford road,B34 6BJ,-1.807085803,52.49312847,Hodge Hill,Mixed,Good,378000,B34 6BL,S,N,F,stechford road
93,Bellfield Infant School (NC),vineyard road,B31 1PT,-1.972680794,52.4166514,,Mixed,Good,213000,B31 1PR,T,N,F,vineyard road
94,Bellfield Infant School (NC),vineyard road,B31 1PT,-1.972680794,52.4166514,,Mixed,Good,110500,B31 1PR,T,N,L,vineyard road
95,Benson Community School,benson road,B18 5TD,-1.9309448619999998,52.49793103,Hockley,Mixed,Good,265000,B14 4PH,S,N,F,benson road
96,Billesley Primary School,trittiford road,B13 0ES,-1.867912065,52.42492378,Billesley,Mixed,Outstanding,220000,B13 0ET,S,N,F,trittiford road
97,Billesley Primary School,trittiford road,B13 0ES,-1.867912065,52.42492378,Billesley,Mixed,Outstanding,260000,B13 0HD,T,N,F,trittiford road
98,Billesley Primary School,trittiford road,B13 0ES,-1.867912065,52.42492378,Billesley,Mixed,Outstanding,211948,B13 0HD,T,N,F,trittiford road
99,Billesley Primary School,trittiford road,B13 0ES,-1.867912065,52.42492378,Billesley,Mixed,Outstanding,171000,B13 0HG,T,N,F,trittiford road
100,Billesley Primary School,trittiford road,B13 0ES,-1.867912065,52.42492378,Billesley,Mixed,Outstanding,210000,B13 0HG,T,N,F,trittiford road
101,Birches Green Infant School,birches green road,B24 9SR,-1.829397449,52.51652747,Erdington,Mixed,Good,170000,B24 9SR,S,N,F,birches green road
102,Birches Green Junior School,birches green road,B24 9SR,-1.828732761,52.51692205,Erdington,Mixed,Special Measures,170000,B24 9SR,S,N,F,birches green road
104,Bishop Challoner Catholic College,institute road,B14 7EG,-1.8898327990000001,52.43302825,Kings Heath,Mixed,Good,248000,B14 7EU,T,N,F,institute road
105,Bishop Challoner Catholic College,institute road,B14 7EG,-1.8898327990000001,52.43302825,Kings Heath,Mixed,Good,319000,B14 7EY,T,N,F,institute road
106,Bishop Challoner Catholic College,institute road,B14 7EG,-1.8898327990000001,52.43302825,Kings Heath,Mixed,Good,250000,B14 7EY,T,N,F,institute road
107,Bishop Challoner Catholic College,institute road,B14 7EG,-1.8898327990000001,52.43302825,Kings Heath,Mixed,Good,299000,B14 7EY,T,N,F,institute road
108,Bishop Challoner Catholic College,institute road,B14 7EG,-1.8898327990000001,52.43302825,Kings Heath,Mixed,Good,355250,B14 7EY,T,N,F,institute road
109,Bishop Vesey's Grammar School,lichfield road,B74 2NH,-1.822008986,52.56902643,,Boys,Outstanding,185000,B46 1EG,T,N,F,lichfield road
110,Bishop Vesey's Grammar School,lichfield road,B74 2NH,-1.822008986,52.56902643,,Boys,Outstanding,300000,B46 1EQ,S,N,F,lichfield road
111,Bishop Vesey's Grammar School,lichfield road,B74 2NH,-1.822008986,52.56902643,,Boys,Outstanding,263100,B46 1EQ,S,N,F,lichfield road
112,Bishop Vesey's Grammar School,lichfield road,B74 2NH,-1.822008986,52.56902643,,Boys,Outstanding,109000,B6 5SY,T,N,L,lichfield road
113,Blakesley Hall Primary School,yardley green road,B33 8TH,-1.8156731869999998,52.47530603,Stechford,Mixed,Good,266000,B9 5QB,S,N,F,yardley green road
114,Waverley School,yardley green road,B9 5QA,-1.82993854,52.47551618,Bordesley Green,Mixed,Good,266000,B9 5QB,S,N,F,yardley green road
115,Bordesley Green Girls' School & Sixth Form,bordesley green road,B9 4TR,-1.854168703,52.48096939,,Girls,Requires improvement,125000,B9 4TJ,T,N,F,bordesley green road
116,Bordesley Green Primary School,marchmont road,B9 5XX,-1.838996237,52.47867532,,Mixed,Good,195000,B9 5XX,S,N,F,marchmont road
117,Bournville Infant School,linden road,B30 1JY,-1.93655255,52.42907081,,Mixed,Outstanding,323000,B30 1NS,S,N,F,linden road
118,Bournville Infant School,linden road,B30 1JY,-1.93655255,52.42907081,,Mixed,Outstanding,318500,B30 1NS,S,N,F,linden road
119,Braidwood School for the Deaf,bromford road,B36 8AF,-1.819994226,52.50236631,,Mixed,Good,210000,B36 8AH,S,N,F,bromford road
120,Braidwood School for the Deaf,bromford road,B36 8AF,-1.819994226,52.50236631,,Mixed,Good,230000,B36 8HJ,S,N,F,bromford road
